"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITF44_0jJ01hzQ.","IT",NA,"Cisternino - Via Croce",40.7428,17.4158,"IT2149A",200,"background","rural","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0jYb1hkK.","IT",NA,"Ceglie Messapica - Via Martina",40.6492,17.5125,"IT2148A",100,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kfG1hie.","IT",NA,"Brindisi - Via dei Mille",40.6388,17.9382,"IT1701A",10,"traffic","urban","automatic",3,20,5,"ARPA-Puglia"
"ITF44_0kg81hkj.","IT",NA,"Brindisi - Casale",40.6517,17.9436,"IT1702A",10,"background","urban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kgq1hjU.","IT",NA,"Brindisi -Via Taranto",40.644,17.948,"IT1618A",10,"traffic","urban","automatic",3,10,5,"ARPA-Puglia"
"ITF44_0khv1hhS.","IT",NA,"Brindisi - Perrino",40.6314,17.9547,"IT2137A",20,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kj31hk2.","IT",NA,"Brindisi - Terminal Passeggeri",40.6474,17.9617,"IT2139A",20,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kKG1hWu.","IT",NA,"Mesagne - Via Udine",40.566,17.808,"IT1663A",10,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0klK1hgW.","IT",NA,"Brindisi - SISRI",40.6256,17.9758,NA,NA,"industrial","suburban",NA,NA,NA,NA,"ARPA-Puglia"
"ITF44_0kqC1hK0.","IT",NA,"San Pietro Vernotico - Stadio",40.486,18.006,"IT1657A",20,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kQO1h9q.","IT",NA,"San Pancrazio Salentino - Via Deledda",40.423,17.846,"IT1617A",20,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF44_0kxw1hKK.","IT",NA,"Torchiarolo-Don Minzoni",40.488,18.054,"IT1658A",10,"industrial","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF45_0kjV1h97.","IT",NA,"Guagnano - Villa Baldassarri",40.4185,17.9645,"IT1664A",10,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF45_0l4Z1gxT.","IT",NA,"Arnesano - Riesci",40.3463,18.0951,"IT1687A",10,"background","suburban","automatic",3,NA,NA,"ARPA-Puglia"
"ITF45_0l801hFl.","IT",NA,"Lecce - Cerrate",40.4597,18.1164,"IT1665A",10,"background","rural","automatic",3,NA,NA,"ARPA-Puglia"
"ITF45_0l8i1h83.","IT",NA,"Surbo- Via Croce",40.4119,18.1208,NA,NA,"industrial","rural",NA,NA,NA,NA,"ARPA-Puglia"
"ITF45_0lHj1gyN.","IT",NA,"Lecce - Libertini",40.3519,18.1767,"IT2044A",50,"traffic","urban","automatic",3,10,10,"ARPA-Puglia"
"ITF45_0lHL1h0P.","IT",NA,"Lecce - Garigliano",40.3645,18.1743,"IT1932A",58,"traffic","urban","automatic",3,10,10,"ARPA-Puglia"
"ITF46_0e1t1kIy.","IT",NA,"San Severo - Posta del Principe",41.6328,15.3877,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Puglia"
"ITF46_0eCA1k56.","IT",NA,"San Severo - Azienda Russo",41.5468,15.4514,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-Puglia"
"ITF46_0eRq1jqO.","IT",NA,"Foggia - Via Rosati",41.4556,15.5486,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-Puglia"
