"SiteCode","Countrycode","LocalCode","LocalName","Lat","Lon","EoICode","Altitude","AirQualityStationType","AirQualityStationArea","MeasurementType","InletHeight","BuildingDistance","KerbDistance","Source"
"ITH37_0VNJ1tBS.","IT","502903","Adria",45.04583,12.06087,"IT1213A",0,"background","urban","automatic",2.75,NA,NA,"ARPAV"
"ITH41_0Wbz1vP0.","IT","BRU","Brugnera",45.89865,12.53631,NA,NA,"background","suburban",NA,NA,NA,NA,"ARPA-FVG"
"ITH41_0WpH1vYX.","IT","POR","Porcia",45.95767,12.61871,"IT1112A",29,"background","suburban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH42_0Xdl1wz9.","IT","ZON","Monte Zoncolan",46.5071,12.93175,NA,NA,"background","rural",NA,NA,NA,NA,"ARPA-FVG"
"ITH42_0XqY1wiB.","IT","TOL","Tolmezzo",46.40187,13.01098,"IT1166A",316,"background","urban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH42_0YP71vl1.","IT","OSV","Sant'Osvaldo - Udine",46.0351,13.2253,"IT1170A",100,"background","suburban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH42_0YqE1vb3.","IT","SGV","San Giovanni al Natisone",45.97331,13.3934,"IT1168A",62,"background","suburban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH42_0YRb1vq1.","IT","CAI","via Cairoli - Udine",46.06612,13.24069,NA,NA,"background","urban",NA,NA,NA,NA,"ARPA-FVG"
"ITH43_0ZEd1vGB.","IT","DOB","Doberdò del Lago",45.84386,13.54472,"IT1474A",125,"background","rural","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH44_0Zrn1uga.","IT","CAR","v. del Carpineto - Trieste",45.62319,13.78746,"IT1090A",50,"background","suburban","automatic",2.5,NA,NA,"ARPA-FVG"
"ITH51_0OMn1sNH.","IT","5000066","CORTE BRUGNATELLA",44.73473,9.36693,"IT2074A",765,"background","rural","automatic",3.2,NA,NA,"ARPAE"
"ITH51_0P9Z1tAH.","IT","5000065","PARCO MONTECUCCO",45.03854,9.66935,"IT1975A",61,"background","urban","automatic",3.2,NA,NA,"ARPAE"
"ITH51_0PZY1sbf.","IT","5000007","LUGAGNANO",44.82389,9.83037,"IT0544A",210,"background","suburban","automatic",3.08,NA,NA,"ARPAE"
"ITH51_0Q401t2N.","IT","5000062","BESENZONE",44.9895,10.0192,"IT1924A",48,"background","rural","automatic",3.2,NA,NA,"ARPAE"
